省/自治区/直辖市/特别行政区	市	区/县	微博名称	认证机构	链接地址	微博等级	粉丝数	微博数
广东	深圳	龙岗区	龙岗发布	深圳市龙岗区人民政府新闻办官方微博	http://weibo.com/u/2233211910	25	375576	14765
广东	深圳	光明新区	光明发布	深圳市光明新区管理委员会官方微博	http://weibo.com/u/2858056760	25	14963	4597
广东	深圳	盐田区	盐田发布	深圳市盐田区政府新闻办官方微博	http://weibo.com/220244094	19	7362	3312
广东	深圳	南山区	深圳南山区人民检察院	深圳南山区人民检察院官方微博	http://weibo.com/nsjc	18	14675	2048
广东	深圳	坪山新区	坪山发布	深圳市坪山新区官方微博	http://weibo.com/u/1922783457	24	14884	4882
广东	梅州		梅州发布	梅州市人民政府新闻办公室官方微博	http://weibo.com/u/2635179330	25	532295	10343
广东	梅州	梅江区	共青团梅江区委员会2013	共青团梅州市梅江区委员会官方微博	http://weibo.com/u/2662080051	10	113	142
广东	梅州	兴宁市	兴宁市人民检察院	广东省兴宁市人民检察院官方微博	http://weibo.com/u/3701874454	18	467	414
广东	梅州	梅县	梅县公安	广东省梅州市梅县公安局网络问政平台	http://weibo.com/u/1961086561	24	10425	5646
广东	梅州	蕉岭	蕉岭公安	广东省梅州市蕉岭县公安局网络问政平台	http://weibo.com/u/1972427067	22	11538	2544
广东	梅州	平远县	平远公安	广东省梅州市平远县公安局局网络问政平台	http://weibo.com/u/2000328991	17	12155	2040
广东	梅州	大埔县	大埔法院	大埔县人民法院官方微博	http://weibo.com/u/2805821594	6	953	503
广东	梅州	丰顺	丰顺公安	广东省梅州市丰顺县公安局官方微博	http://weibo.com/u/1936004900	21	13371	4040
广东	梅州	五华县	五华公安	广东省梅州市五华县公安局官方微博	http://weibo.com/u/1944811004	26	14574	3371
广东	潮州		潮州发布	广东省潮州市人民政府新闻办公室官方微博	http://weibo.com/chaozhoufabu	26	91282	12748
广东	潮州	潮安县	潮安共青团--幸福潮安	共青团潮州市潮安县委员会官方微博	http://weibo.com/u/2711680970	13	778	423
广东	潮州	饶平县	饶平团委	中国共产主义青年团广东省饶平县委员会官方微博	http://weibo.com/u/2610835595	14	679	293
广东	潮州	湘桥区	共青团湘桥区委	共青团潮州市湘桥区委员会官方微博	http://weibo.com/czxqtw	14	4741	1100
广东	潮州	枫溪区	潮州枫溪消防	广东省潮州市公安消防支队枫溪区大队官方微博	http://weibo.com/u/2178629640	12	149	268
广东	佛山		佛山发布	广东省佛山市委市政府官方微博	http://weibo.com/fsfb	27	1609045	19403
广东	佛山	禅城区	禅城发布	佛山市禅城区人民政府新闻办公室官方微博	http://weibo.com/fsccxwb	29	604890	27798
广东	佛山	南海区	南海发布	广东省佛山市南海区人民政府新闻办公室	http://weibo.com/nanhainews	31	1018472	36335
广东	佛山	顺德区	幸福顺德	佛山市顺德区新闻办公室官方微博	http://weibo.com/u/2380886594	29	17999	12024
广东	佛山	高明区	高明发布	广东省佛山市高明区人民政府新闻办公室官方微博	http://weibo.com/fsgmxwb	23	52752	4989
广东	佛山	三水区	三水发布	佛山市三水区人民政府新闻办公室官方微博	http://weibo.com/ssxwb	24	206872	8539
广东	阳江		阳江发布	广东省阳江市人民政府新闻办公室官方微博	http://weibo.com/gdyjfb	4	263	84
广东	阳江	江城区	平安江城	广东省阳江市江城公安分局	http://weibo.com/yjjc110	6	6763	106
广东	阳江	阳东区	共青团阳江市阳东区委	共青团阳东县委员会官方微博	http://weibo.com/u/1164242191	16	658	501
广东	阳江	阳春市	阳春共青团	共青团阳春市委员会官方微博	http://weibo.com/yangchuntuanwei	19	1646	2501
广东	阳江	阳西县	平安阳西	他还没有填写个人简介(阳西县公安局2015.11.10莫)	http://weibo.com/yxga	7	7566	139
广东	阳江	海陵区	阳江市海陵区旅游和外事侨务局	广东省阳江市海陵岛经济开发试验区旅游文体局官方微博	http://weibo.com/u/3880747812	13	759	282
广东	阳江	高新区	共青团阳江高新区委	他还没有填写个人简介	http://weibo.com/u/2712207202	2	102	5
广东	韶关		平安韶关	广东省韶关市公安局	http://weibo.com/u/1736347493	28	323242	9163
广东	韶关	浈江区	韶关浈江区国家税务局	广东省韶关市浈江区国家税务局官方微博	http://weibo.com/sgzjgs	18	1492	528
广东	韶关	武江区	韶关武江法院	广东省韶关市武江区人民法院	http://weibo.com/u/3433209684	8	580	142
广东	韶关	曲江区	韶关曲江供电局团委 	共青团广东电网韶关曲江供电局委员会官方微博	http://weibo.com/u/3274926682	4	112	41
广东	韶关	乐昌市	乐昌公安	广东省乐昌市公安局官方微博	http://weibo.com/u/2709867692	17	2098	919
广东	韶关	南雄市	南雄团委	共青团南雄市委员会官方微博	http://weibo.com/NXTW	22	3913	1950
广东	韶关	仁化县	仁化共青团 	韶关市仁化共青团官方微博	http://weibo.com/u/2717550954	7	614	372
广东	韶关	始兴县	始兴公安	韶关市始兴县公安局指挥中心官方微博	http://weibo.com/u/2709644614	15	601	1236
广东	韶关	翁源	平安翁源	广东省韶关市翁源县公安局	http://weibo.com/sgwyga	6	5768	169
广东	韶关	新丰县	新丰旅游	广东省韶关市新丰县旅游局官方微博	http://weibo.com/gdxfly	21	3832	652
广东	韶关	乳源瑶族自治县	乳源团委	共青团乳源瑶族自治县委员会官方微博	http://weibo.com/u/2616736253	7	556	136
广东	茂名		茂名发布	广东省茂名市人民政府新闻办公室官方微博	http://weibo.com/238076780	24	99233	8406
广东	茂名	茂南区	平安茂南	广东省茂名市公安局茂南分局	http://weibo.com/gdmn110	26	46315	3842
广东	茂名	电白区	平安电白	广东省电白县公安局官方微博	http://weibo.com/u/2096134460	17	4452	1177
广东	茂名	信宜市	平安信宜	广东省信宜市公安局官方微博	http://weibo.com/u/2147041552	8	5869	313
广东	茂名	高州市	茂名高州供电局团委	共青团茂名高州供电局委员会官方微博	http://weibo.com/u/3276891512	12	91	45
广东	茂名	化州市	化州政府网	广东省化州市人民政府办公室官方微博	http://weibo.com/279772298	16	970	2250
广东	茂名	茂名市滨海新区	广东茂名滨海新区	广东茂名滨海新区管委会官方微博	http://weibo.com/u/3458979940	14	1678	750
广东	茂名	茂名高新技术产业开发区	平安茂西	广东省茂名市公安局高新技术产业开发区分局官方微博	http://weibo.com/u/2146832140	7	1954	591
广东	茂名	茂名市水东湾新城	茂名水东湾新城管委会	广东省茂名市水东湾新城建设管理委员会官方微博	http://weibo.com/gdmmnc	13	691	378
广东	中山		中山发布	广东省中山市人民政府新闻办公室官方微博	http://weibo.com/u/3511698607	25	353441	5707
广东	中山	火炬区	中山火炬发布	国家中山火炬高技术产业开发区管委会官方微博	http://weibo.com/zskfq	24	11134	3754
广东	中山	石岐区	石岐发布	广东省中山市人民政府石岐区办事处官方微博	http://weibo.com/shiqifabu	9	359	287
广东	中山	东区	中山东区发布	广东省中山市人民政府东区办事处官方微博	http://weibo.com/shiqifabu	9	359	287
广东	中山	西区	中山西区发布	中山市人民政府西区办事处官方微博	http://weibo.com/u/3515738864	13	699	716
广东	中山	南区	中山南区	广东省中山市人民政府南区办事处官方微博	http://weibo.com/u/3558487522	20	838	824
广东	中山	翠亨新区	中山翠亨新区	广东省中山市翠亨新区管理委员会官方微博	http://weibo.com/u/3877296294	1	44	3
广东	清远		清远发布	清远市人民政府新闻办公室官方微博	http://weibo.com/qyfabu	26	57010	11368
广东	清远	清城区	清城发布	清远市清城区人民政府新闻办公室官方微博	http://weibo.com/qingchengfabu	22	3065	5605
广东	清远	清新县	清新发布	中共清远市清新区委宣传部官方微博	http://weibo.com/qingxinfabu	17	305	1999
广东	清远	英德市	英德市行政服务中心	广东省英德市人民政府行政服务中心官方微博	http://weibo.com/ydxzfwzx	14	1249	477
广东	清远	连州市	连州发布	连州市政府新闻办公室官方微博	http://weibo.com/lzfabu	17	952	638
广东	清远	连山县	连山政务	连山壮族瑶族自治县门户网站官方微博	http://weibo.com/u/5333523339	4	9	11
广东	清远	连南县	连南发布	中共连南瑶族自治县委宣传部官方微博	http://weibo.com/u/2085281905	4	28	40
广东	清远	阳山县	阳山发布	广东省清远市阳山县信息中心官方微博	http://weibo.com/u/2588743880	10	261	201
广东	清远	佛冈县	佛冈发布	广东省清远市佛冈县人民政府官方微博	http://weibo.com/u/5367896478	0	52	5
广东	河源		河源发布	广东省河源市人民政府新闻办公室官方微博	http://weibo.com/hyfabu	16	18960	5096
广东	河源	源城区	源城区法院	广东省河源市源城区人民法院官方微博	http://weibo.com/u/3639128812	11	505	159
广东	河源	东源县	东源县公安局	广东省河源市东源县公安局官方微博	http://weibo.com/dyga110	15	2411	508
广东	河源	龙川县	龙川县法院	广东省河源市龙川县人民法院官方微博	http://weibo.com/lcxfy	11	185	29
广东	河源	连平县	广东连平县国税局	广东省连平县国家税务局官方微博	http://weibo.com/u/2733240110	14	688	218
广东	河源	和平县	和平县法院	广东省河源市和平县人民法院官方微博	http://weibo.com/u/3754177800	7	523	250
广东	河源	紫金县	紫金公安	广东省紫金县公安局	http://weibo.com/pazjgawb	19	6710	1397
广东	汕尾		汕尾发布	广东省汕尾市人民政府新闻办公室官方微博	http://weibo.com/shanweifabu	26	102880	17703
广东	汕尾	海丰县	海丰发布	广东省汕尾市海丰县人民政府官方微博	http://weibo.com/u/3629323130	15	63535	2027
广东	汕尾	陆丰市	陆丰发布	陆丰市政府新闻办公室官方微博	http://weibo.com/lfxwfb	22	21934	2497
广东	汕尾	陆河县	平安陆河	广东省陆河县公安局官方微博	http://weibo.com/palh	21	92230	559
广东	汕尾	红海湾开发区	平安红海湾	广东省汕尾市公安局红海湾分局官方微博	http://weibo.com/pahhw	13	1439	201
广东	汕尾	市城区	汕尾城区发布	广东省汕尾市城区人民政府办公室官方微博	http://weibo.com/u/3206815102	14	555	764
广东	湛江		湛江发布	广东省湛江市人民政府新闻办公室	http://weibo.com/u/3980043846	14	29428	2714
广东	湛江	赤坎区	赤坎公安分局微博	广东省湛江市公安局赤坎分局官方微博	http://weibo.com/u/2013688990	16	3578	1891
广东	湛江	霞山区	湛江市霞山区人民法院	湛江市霞山区人民法院官方微博	http://weibo.com/xsfywb	7	692	65
广东	湛江	坡头区	湛江市公安局坡头分局	广东省湛江市公安局坡头分局官方微博	http://weibo.com/u/2120233094	10	1777	648
广东	湛江	麻章区	湛江麻章公安	广东省湛江市公安局麻章分局官方微博	http://weibo.com/zjmzwj	22	2256	2918
广东	湛江	廉江市	廉江公安	广东省廉江市公安局官方微博	http://weibo.com/ljga110	17	15135	1177
广东	湛江	吴川市	吴川公安	广东省吴川市公安局官方微博	http://weibo.com/u/2035282992	9	7528	679
广东	湛江	雷州市	平安雷州	广东省雷州市公安局官方微博	http://weibo.com/leizhou	19	21708	963
广东	湛江	遂溪县	遂溪公安	广东省湛江市遂溪县公安局	http://weibo.com/suixi110	9	6243	219
广东	湛江	徐闻县	徐闻公安	广东省徐闻县公安局	http://weibo.com/xwga110	13	13698	995
广东	云浮		平安云浮	广东省云浮市公安局	http://weibo.com/u/1736145103	28	167933	9596
广东	云浮	云城区	云城区法院	广东省云浮市云城区人民法院官方微博	http://weibo.com/u/5698454400	3	22	8
广东	云浮	罗定市	共青团云浮罗定供电局总支部	共青团云浮罗定供电局总支部	http://weibo.com/u/3268920453	9	288	44
广东	云浮	新兴县	广东新兴公安 	云浮市新兴县公安局官方微博	http://weibo.com/u/1941251902	11	1799	860
广东	云浮	郁南县	平安郁南	广东省郁南县公安局官方微博	http://weibo.com/u/1934949681	13	7817	318
广东	云浮	云安区	平安云安	云浮市公安局云安分局	http://weibo.com/ya110	9	15513	210
广东	惠州		惠州发布	惠州市人民政府新闻办公室官方微博	http://weibo.com/hzfb	29	244062	22119
广东	惠州	惠城区	惠城发布	惠州市惠城区委宣传部官方微博	http://weibo.com/hcfb	24	22607	8585
广东	惠州	惠阳区	惠阳发布	惠州市惠阳区委宣传部官方微博	http://weibo.com/hzhyfb	23	11866	8604
广东	惠州	惠东县	惠东发布	中共广东省惠东县委宣传部官方微博	http://weibo.com/huidongfb	22	91971	3698
广东	惠州	博罗县	博罗发布	中共广东省博罗县委宣传部官方微博	http://weibo.com/boluofabu	24	6296	7447
广东	惠州	龙门县	龙门发布	惠州市龙门县人民政府官方微博	http://weibo.com/lmfb	23	17245	7478
广东	惠州	大亚湾区	大亚湾发布	惠州大亚湾经济技术开发区新闻中心官方微博	http://weibo.com/u/2244716203	26	3736	4297
广东	惠州	仲恺高新区	仲恺发布	广东省惠州仲恺高新区新闻中心官方微博	http://weibo.com/hzzkweb	24	19375	11399
广东	珠海		珠海发布	珠海市人民政府新闻办公室官方微博	http://weibo.com/u/3535175740	25	41125	7154
广东	珠海	横琴新区	珠海横琴新区人民法院	广东省珠海横琴新区人民法院官方微博	http://weibo.com/u/5183532283	7	119	184
广东	珠海	香洲区	香洲法院	广东省珠海市香洲区人民法院官方微博	http://weibo.com/u/5086475309	12	359	496
广东	珠海	保税区	广东珠海保税区	珠海保税区管理委员会、珠海保税区平安办官方微博	http://weibo.com/u/2579219000	14	1360	1414
广东	珠海	万山区	珠海万山区团委	共青团珠海万山海洋开发试验区委员会官方微博	http://weibo.com/zhuhaiwanshantw	14	623	1160
广东	珠海	金湾区	金湾发布	中共珠海市金湾区委宣传部官方微博	http://weibo.com/jwxcb	28	5223	18286
广东	珠海	高栏港经济区	高栏港经济区	广东省珠海高栏港经济区管理委员会官方微博	http://weibo.com/u/3909670325	17	836	946
广东	珠海	斗门区	斗门发布	广东省珠海市斗门区委宣传部官方微博	http://weibo.com/u/3772731587	24	3099	6457
广东	珠海	高新区	珠海高新城市治理	广东省珠海市高新区城市监督管理局官方微博	http://weibo.com/226967123	15	150	264
广东	揭阳		平安揭阳	广东省揭阳市公安局	http://weibo.com/u/1735788410	31	252858	7653
广东	揭阳	榕城区	揭阳榕城消防	广东省揭阳市公安消防支队榕城区大队官方微博	http://weibo.com/jyrcxf119	13	179	262
广东	揭阳	普宁市	普宁消防在线	广东省普宁市公安消防大队官方微博	http://weibo.com/u/2119138874	20	3420	1537
广东	揭阳	揭东区	揭东共青团	共青团揭阳市揭东县委员会官方微博	http://weibo.com/u/2616076997	8	734	262
广东	揭阳	揭西县	揭阳揭西供电局团委	共青团广东电网揭阳揭西供电局委员会官方微博	http://weibo.com/u/3239330453	7	129	56
广东	揭阳	惠来县	团惠来县委	广东省揭阳市惠来县团委官方微博	http://weibo.com/gdhlqn	12	1623	354
广东	揭阳	蓝城区	蓝城共青团	中国共产主义青年团揭阳市蓝城区委员会官方微博	http://weibo.com/u/2710100692	12	376	527
广东	揭阳	空港经济区	揭阳空港共青团_青春风采	广东省揭阳空港经济区团委官方微博	http://weibo.com/u/2614836643	16	621	344
广东	肇庆		美丽肇庆	中共肇庆市委宣传部官方微博	http://weibo.com/zqfb	26	907998	20347
广东	肇庆	端州区	平安端州	肇庆市公安局端州分局信息公开微博平台	http://weibo.com/u/1716950794	25	14230	2648
广东	肇庆	鼎湖区	平安鼎湖	广东省肇庆市公安局鼎湖分局	http://weibo.com/padh666	20	10270	2761
广东	肇庆	高要区	平安高要	广东省高要市公安局	http://weibo.com/zqgyga	21	15038	4416
广东	肇庆	四会市	平安四会	广东肇庆四会市公安局官方微博	http://weibo.com/u/1730337827	24	18731	3181
广东	肇庆	广宁县	平安广宁	广东省肇庆市广宁县公安局信息公开微博平台	http://weibo.com/gnga	22	14905	1528
广东	肇庆	德庆县	平安德庆	广东省肇庆市德庆县公安局信息公开微博平台	http://weibo.com/u/1723065464	18	9454	1234
广东	肇庆	封开县	平安封开	广东省肇庆市封开县公安局信息公开微博平台	http://weibo.com/chinapolice	22	15626	3874
广东	肇庆	怀集县	平安怀集	广东省肇庆怀集县公安局	http://weibo.com/hjhjga110	26	15550	5766
广东	汕头		平安汕头	广东省汕头市公安局官方微博	http://weibo.com/stga	28	259742	11132
广东	汕头	金平区	汕头金平公安	广东省汕头市公安局金平分局	http://weibo.com/stjpga	17	10425	793
广东	汕头	龙湖区	汕头市龙湖区人民法院	汕头市龙湖区人民法院	http://weibo.com/stlhfy	22	9431	3661
广东	汕头	澄海区	平安澄海	广东省汕头市公安局澄海分局	http://weibo.com/u/2013024525	21	15049	2177
广东	汕头	濠江区	平安濠江	汕头市公安局濠江分局	http://weibo.com/u/1985188834	13	5308	400
广东	汕头	潮阳区	平安潮阳	汕头市公安局潮阳分局	http://weibo.com/u/1980384860	18	7794	529
广东	汕头	潮南区	平安潮南	广东省汕头市公安局潮南分局	http://weibo.com/u/1980384860	18	7794	529
广东	汕头	南澳县	汕头南澳供电局团支部	共青团广东电网汕头南澳供电局委员会官方微博	http://weibo.com/u/3268930693	7	107	75
广东	东莞		莞香花开	广东省东莞市人民政府新闻办公室官方微博	http://weibo.com/guanxianghuakai	28	2658516	10484
